sample 0,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18,sample 19,sample 20,sample 21,sample 22,sample 23,sample 24,sample 25,sample 26,sample 27,sample 28,sample 29,sample 30,sample 31,sample 32,sample 33,sample 34,sample 35,sample 36,sample 37,sample 38,sample 39
0.011673,-0.034561,0.001839,0.049088,-0.04055,-0.027077,0.038231,0.040169,0.037247,-0.009277,-0.016739,-0.033806,-0.001953,-0.001152,-0.013947,0.051567,-0.015778,-0.024055,0.011108,0.017372,-0.004044,-0.017738,0.002831,0.049278,-0.032661,0.018509,0.084717,-0.020477,-0.016502,-0.020828,-0.008095,0.012276,0.066185,0.0289,0.022629,0.030373,0.031113,-0.075081,0.002831,0.026199
0.000908,-0.019104,0.01503,0.056168,-0.035774,-0.026199,0.039879,0.050293,0.024094,-0.00042,-0.044792,-0.042564,-7.63E-06,0.000961,-0.026741,0.041214,-0.02681,-0.019524,-0.002396,0.029289,-0.022034,-0.017746,-0.003944,0.044487,-0.042183,0.02948,0.100471,-0.027954,-0.015594,-0.010574,-0.024261,0.016991,0.065773,0.031143,0.010017,0.033188,0.032318,-0.07663,0.006104,0.02874
-0.009979,-0.007675,0.022919,0.065933,-0.024147,-0.023163,0.038292,0.048401,0.006577,0.013145,-0.065834,-0.044258,0.006409,0.005066,-0.038635,0.028419,-0.034309,-0.013039,-0.014687,0.046249,-0.036476,-0.015907,-0.009544,0.035629,-0.04686,0.036201,0.105957,-0.0308,-0.011269,-0.001236,-0.035316,0.027237,0.057457,0.030434,-0.00174,0.033333,0.032166,-0.06649,0.00943,0.030182
-0.023827,0.00412,0.025032,0.067986,-0.016396,-0.01403,0.033379,0.044609,-0.01165,0.023216,-0.076981,-0.041557,0.015793,0.007912,-0.046165,0.017067,-0.034622,-0.003754,-0.022552,0.058105,-0.048309,-0.009117,-0.016403,0.023491,-0.042488,0.032631,0.105202,-0.033363,-0.005714,0.004341,-0.043541,0.036827,0.042633,0.026131,-0.013611,0.031845,0.02729,-0.049248,0.005714,0.031219
-0.038582,0.016922,0.02626,0.062958,-0.006416,-0.000465,0.023079,0.041443,-0.029533,0.031006,-0.078674,-0.03756,0.027611,0.008705,-0.046371,0.005112,-0.028717,0.005325,-0.029839,0.066216,-0.062202,-0.00145,-0.022781,0.011902,-0.036385,0.022591,0.090431,-0.035126,0.00399,0.010345,-0.047745,0.042519,0.023941,0.014732,-0.023727,0.031113,0.020134,-0.029991,-0.002594,0.026405
-0.051292,0.02491,0.023354,0.054176,0.007408,0.012268,0.007347,0.027885,-0.041763,0.040138,-0.068008,-0.026291,0.039238,0.013283,-0.040428,-0.003471,-0.018082,0.01619,-0.033028,0.068222,-0.073029,0.008255,-0.026382,-0.003036,-0.033081,0.01075,0.064453,-0.032799,0.011116,0.014534,-0.037453,0.043358,-0.000435,0.005325,-0.033058,0.031883,0.016808,-0.004936,-0.007378,0.018875
-0.053749,0.031708,0.016884,0.039734,0.017708,0.023026,-0.0093,0.009735,-0.049492,0.040306,-0.053482,-0.006142,0.042572,0.019958,-0.033501,-0.007874,-0.006073,0.031616,-0.027489,0.057205,-0.07663,0.016663,-0.027901,-0.02092,-0.025459,-0.002502,0.038208,-0.026054,0.013893,0.017616,-0.022812,0.041039,-0.024307,-0.00058,-0.039452,0.027962,0.016487,0.020737,-0.007301,0.015442
-0.050156,0.038361,0.012199,0.025604,0.02758,0.031342,-0.023926,-0.006897,-0.054726,0.039124,-0.039993,0.017067,0.042595,0.022316,-0.022987,-0.013542,0.00219,0.044098,-0.019814,0.038086,-0.071907,0.020699,-0.02845,-0.032852,-0.015213,-0.013428,0.007896,-0.017555,0.013794,0.01899,-0.008354,0.035378,-0.041542,-0.007751,-0.035889,0.01622,0.010666,0.045883,-0.002052,0.007027
-0.04747,0.036255,0.006538,0.016792,0.039551,0.030258,-0.032745,-0.024467,-0.048935,0.042587,-0.020531,0.038429,0.042168,0.023903,-0.007774,-0.019165,0.006538,0.052277,-0.010956,0.015396,-0.057579,0.023369,-0.027565,-0.039124,-0.004303,-0.021606,-0.019562,-0.014633,0.011169,0.014786,0.008575,0.025185,-0.05452,-0.009644,-0.02713,0.004753,0.004921,0.071915,0.00956,-0.005974
-0.040466,0.026505,-0.000626,0.003746,0.047318,0.022408,-0.036133,-0.04007,-0.031288,0.040962,0.002869,0.051857,0.034363,0.027565,0.006165,-0.023338,0.009605,0.055763,0.002205,-0.008484,-0.037369,0.023598,-0.023178,-0.043915,0.011093,-0.028915,-0.040962,-0.010742,0.010567,0.006927,0.02536,0.016098,-0.063316,-0.006119,-0.020584,-0.005737,-0.001953,0.093925,0.019913,-0.015648
